dataset_id,migrated_to_ingest,archived,archived_via_ingest,latest_version,latest_archived_at,stale_library_files_in_latest
dcp_electiondistricts,True,True,True,26b,,
dcp_electiondistricts_wi,True,True,True,26b,,
dcp_facilities,True,True,True,26v1,,config.yml;dcp_facilities.csv;dcp_facilities.sql
dcp_facilities_with_unmapped,True,True,True,26v1,,
dcp_firecompanies,True,True,True,26b,,
dcp_floodplain_2050_100,True,True,True,20250417,,
dcp_gis_mandatory_inclusionary_housing,True,True,True,20260531,,
dcp_green_fast_track_lots,True,True,True,24v3,,
dcp_healthareas,True,True,True,26b,,
dcp_healthcenters,True,True,True,26b,,
dcp_housing,True,True,True,25Q4,,config.yml;dcp_housing.csv;dcp_housing.sql
dcp_limitedheight,True,True,True,20260630,,
dcp_limwa,True,True,True,20151013,,
dcp_lion,True,True,True,26b,,
dcp_managing_agencies_lookup,True,True,True,20260222,,
dcp_mappluto_clipped,False,True,False,26v1,2026-05-28T11:20:38.233538-04:00,
dcp_mappluto_historical,False,False,False,,,
dcp_mappluto_wi,False,True,False,26v1,2026-05-28T11:20:16.372081-04:00,
dcp_municipalcourtdistricts,True,True,True,26b,,
dcp_municipalcourtdistricts_wi,True,True,True,26b,,
dcp_nta2010,True,True,True,26b,,
dcp_nta2020,True,True,True,26b,,
dcp_pad,True,True,True,26b,,
dcp_pfirms,True,True,True,20161227,,
dcp_pluto,True,True,True,26v1,,
dcp_policeprecincts,True,True,True,26b,,
dcp_pop_acs,False,False,False,,,
dcp_pop_acs2010_demographic,True,True,False,,,
dcp_pop_acs2010_economic,True,True,False,,,
dcp_pop_acs2010_housing,True,True,True,202502,,
dcp_pop_acs2010_social,True,True,False,,,
dcp_pop_decennial_ddhca,False,True,False,202502,2025-02-04T17:34:21.290779-05:00,
dcp_pop_decennial_dhc,False,True,False,202502,2025-02-04T17:32:39.720845-05:00,
dcp_pops,False,True,False,20260713,2026-07-13T16:52:15.407547-04:00,
dcp_population_cd_puma_crosswalk_2020,True,False,False,,,
dcp_population_nta_puma_crosswalk_2020,True,False,False,,,
dcp_projectbbls_cy,True,True,True,CY25,,
dcp_proximity_establishments,False,False,False,,,
dcp_publicly_owned_waterfront,True,True,True,20220901,,
dcp_pumas2020,True,True,True,20260526,,
dcp_school_districts,True,True,True,26b,,
dcp_sfpsd,True,True,False,20210414,,
dcp_specialpurpose,True,True,True,20260630,,
dcp_specialpurposesubdistricts,True,True,True,20260630,,
dcp_stateassemblydistricts,True,True,True,26b,,
dcp_stateassemblydistricts_wi,True,True,True,26b,,
dcp_statesenatedistricts,True,True,True,26b,,
dcp_statesenatedistricts_wi,True,True,True,26b,,
dcp_trafficanalysiszones,False,True,False,20210609,,
dcp_transit_zones,True,True,True,20251209,,
dcp_waterfront_access_map_pow,True,True,False,20220901,2025-09-13T20:33:39.491218-04:00,
dcp_waterfront_access_map_wpaa,True,True,False,20231016,2025-09-13T20:33:22.654352-04:00,
dcp_waterfront_public_access_areas,True,True,True,20231016,,
dcp_waterfront_public_access_areas_footprints,True,True,True,20231016,,
dcp_wrp_coastal_zone_boundary,True,True,False,20200701,2025-04-02T17:14:53.453770-04:00,
dcp_wrp_priority_marine_activity_zones,True,True,False,20200701,2025-04-02T17:18:54.946432-04:00,
dcp_wrp_recognized_ecological_complexes,True,True,False,20200701,2025-09-13T20:33:21.575585-04:00,
dcp_wrp_sensitive_maritime_and_industrial_area,True,True,False,20200701,2025-04-03T09:49:22.360113-04:00,
dcp_wrp_significant_maritime_and_industrial_area,True,True,False,20200701,2025-04-02T17:19:14.154957-04:00,
dcp_wrp_special_natural_waterfront_areas,True,True,False,20200701,2025-09-13T20:33:21.159005-04:00,
dcp_zoningdistricts,True,True,True,20260630,,
dcp_zoningmapamendments,True,True,True,20260630,,
dcp_zoningmapindex,True,True,False,20190701,,
dcp_zoningtaxlots,True,True,True,2026-06-01,,
ddc_capitalprojects_infrastructure,False,True,False,20260701,2026-07-01T20:41:56.008522-04:00,
ddc_capitalprojects_publicbuildings,False,True,False,20260701,2026-07-01T20:42:15.578507-04:00,
dep_cats_permits,True,True,True,20260715,,config.yml;dep_cats_permits.csv;dep_cats_permits.sql
dep_stormwater_extreme_2080,True,True,True,20250422,,
dep_stormwater_limited_current,True,True,True,20250422,,
dep_stormwater_moderate_2050,True,True,True,20250422,,
dep_stormwater_moderate_current,True,True,True,20250422,,
dep_wwtc,False,True,False,20210413,,
dfta_contracts,True,True,True,20260115,,
dhs_shelterd_indiv_by_comm_dist,True,True,True,20260504,,
dob_bis_applications,True,True,True,20260711,,
dob_bis_cofos,True,True,True,20260103,,
dob_bis_permits,True,True,True,20260711,,
dob_cofos,False,True,False,20260107,2026-01-22T22:40:55.344301-05:00,
dob_jobapplications,False,True,False,20260124,2026-01-25T20:02:53.314949-05:00,
dob_jobapplications_parkingspaces,False,True,False,20240603,2024-08-05T16:25:43.451306-04:00,
dob_natural_resource_check_flags,False,True,False,20240419,2024-05-31T09:54:07.513934-04:00,
dob_now_applications,False,True,False,20260630,2026-07-12T16:55:36.900741-04:00,
dob_now_cofos,True,True,True,20260703,,
dob_now_permits,False,True,False,20260630,2026-07-07T12:13:04.838964-04:00,
dob_permitissuance,False,True,False,20260124,2026-01-25T20:13:53.818823-05:00,
doe_busroutesgarages,True,True,True,20260101,,
doe_eszones,True,True,False,20240313,2025-01-07T14:20:01.417754-05:00,
doe_hszones,True,True,False,20240313,2024-08-01T14:08:32.711836-04:00,
doe_lcgms,True,True,True,20260205,,config.yml;doe_lcgms.csv;doe_lcgms.sql
doe_mszones,True,True,False,20240313,2025-01-07T14:24:46.010186-05:00,
doe_myschools_universalprek,True,True,True,20260209,,
doe_school_subdistricts,True,True,True,20250901,,config.yml;doe_school_subdistricts.csv;doe_school_subdistricts.shp.zip;doe_school_subdistricts.sql
doe_universalprek,True,True,True,20260213,,config.yml;doe_universalprek.csv;doe_universalprek.sql
dof_air_rights_lots,True,True,True,20260305,,
dof_condo,True,True,True,20260715,,
dof_dtm,True,True,True,20260715,,
dof_shoreline,True,True,True,20220429,,
dohmh_daycare,True,True,False,20230426,2023-07-19 11:36:45,
doi_evictions,True,True,True,20260514,,doi_evictions.csv
doi_evictions_geocoded,True,True,True,20260514,,
doitt_buildingfootprints,True,True,True,20260707,,
doitt_buildingfootprints_historical,True,True,True,20260705,,
doitt_roadbed,True,True,True,20240424,,
doitt_zipcodeboundaries,False,True,False,20180910,,
dot_bike_routes,True,True,True,20240724,,
dot_bridgehouses,False,True,False,20240805,2024-08-12T15:11:07.321131-04:00,
dot_ferryterminals,False,True,False,20240805,2024-08-12T15:31:11.299415-04:00,
dot_mannedfacilities,True,True,True,20250813,,config.yml;dot_mannedfacilities.csv;dot_mannedfacilities.sql
dot_open_streets,True,True,True,20250501,,
dot_pedplazas,True,True,True,20260101,,
dot_projects_bridges,False,True,False,20260626,2026-06-26T16:20:04.873780-04:00,
dot_projects_intersections,True,True,True,20260701,,
dot_projects_streets,True,True,True,20260612,,
dot_publicparking,True,True,True,20250813,,config.yml;dot_publicparking.csv;dot_publicparking.sql
dot_traffic_sample_volume_counts,True,True,True,20220526,,
dot_truck_routes,True,True,True,20231024,,
dpr_active_passive_recreation,True,True,True,20250514,,
dpr_capitalprojects,True,True,True,20260625,,config.yml;dpr_capitalprojects.csv;dpr_capitalprojects.sql
dpr_forever_wild,True,True,True,20260617,,
dpr_greenthumb,True,True,True,20260707,,
dpr_park_access_zone,True,True,False,20230719,2024-12-14T19:32:05.031341-05:00,
dpr_parksproperties,True,True,True,20260617,,
dpr_schoolyard_to_playgrounds,True,True,True,20260617,,
dpr_walk_to_a_park,True,True,True,20250415,,
dsny_donatenycdirectory,True,True,True,20260115,,
dsny_electronicsdrop,True,True,True,20260115,,
dsny_fooddrop,True,True,True,20260114,,
dsny_frequencies,True,True,False,20240410,2024-12-17T10:12:59.381921-05:00,
dsny_garages,True,True,True,20260711,,
dsny_leafdrop,True,True,True,20260102,,
dsny_specialwastedrop,True,True,True,20260115,,
dycd_afterschoolprograms,False,True,False,20170916,2023-07-19 11:51:21,
dycd_service_sites,True,True,True,20260309,,config.yml;dycd_service_sites.csv;dycd_service_sites.sql
edc_capitalprojects,False,True,False,20260708,2026-07-08T16:44:06.097356-04:00,
edc_capitalprojects_ferry,False,True,False,20210610,,
fbop_corrections,False,True,False,20240812,2024-08-12T19:44:54.739967-04:00,
fdny_firehouses,True,True,False,20220408,2024-12-17T10:12:49.426798-05:00,
fema_firms2007_100yr,False,True,False,20181219,,
fema_firms_500yr,False,True,False,20181219,,
fema_pfirms2015_100yr,False,True,False,20181219,,
fisa_capitalcommitments,True,True,True,20260625,,config.yml;fisa_capitalcommitments.csv;fisa_capitalcommitments.sql
fisa_dailybudget,True,True,True,20260625,,config.yml;fisa_dailybudget.csv;fisa_dailybudget.sql
foodbankny_foodbanks,True,True,True,20260208,,config.yml;foodbankny_foodbanks.csv;foodbankny_foodbanks.sql
hhc_hospitals,True,True,False,20170908,2023-07-19 11:52:01,
hpd_historical_units_by_building,False,True,False,20230630,2023-06-30 10:38:54,
hpd_hny_units_by_building,True,True,True,20260519,,config.yml;hpd_hny_units_by_building.csv;hpd_hny_units_by_building.sql
hra_jobcenters,True,True,True,20250414,,config.yml;hra_jobcenters.csv
hra_medicaid,True,True,True,20250423,,config.yml;hra_medicaid.csv;hra_medicaid.csv.zip;hra_medicaid.shp.zip;hra_medicaid.sql;hra_medicaid.sql.zip
hra_snapcenters,True,True,True,20250520,,config.yml;hra_snapcenters.csv
hud_lowmodincomebyblockgroup,True,True,True,20241231,,
lpc_historic_district_areas,True,True,True,20260618,,config.yml;lpc_historic_district_areas.csv;lpc_historic_district_areas.sql
lpc_historic_districts,True,True,True,20260203,,config.yml;lpc_historic_districts.csv;lpc_historic_districts.sql
lpc_landmarks,True,True,True,20260618,,config.yml;lpc_landmarks.csv;lpc_landmarks.sql
lpc_scenic_landmarks,True,True,True,20260618,,config.yml;lpc_scenic_landmarks.csv;lpc_scenic_landmarks.sql
moeo_socialservicesitelocations_contracts,True,True,True,20210513,,
moeo_socialservicesitelocations_programs,True,True,True,20210513,,
moeo_socialservicesitelocations_providers,True,True,True,20210513,,
moeo_socialservicesitelocations_sites,True,True,True,20210513,,
nycdoc_corrections,False,True,False,20250724,2025-07-24T11:38:39.497905-04:00,
nycha_communitycenters,True,True,True,20250224,,config.yml;nycha_communitycenters.csv;nycha_communitycenters.csv.zip;nycha_communitycenters.shp.zip;nycha_communitycenters.sql;nycha_communitycenters.sql.zip
nycha_policeservice,True,True,True,20250213,,
nycoc_checkbook,False,True,False,20260626,2026-06-25T23:54:19.938595-04:00,
nycourts_courts,False,True,False,20210413,,
nypl_libraries,True,True,True,20260203,,
nysdec_lands,True,True,True,20260711,,config.yml;nysdec_lands.csv;nysdec_lands.sql
nysdec_natural_heritage_communities,True,True,True,20251120,,config.yml;nysdec_natural_heritage_communities.csv;nysdec_natural_heritage_communities.sql
nysdec_priority_estuaries,True,True,True,20251125,,config.yml;nysdec_priority_estuaries.csv;nysdec_priority_estuaries.sql
nysdec_priority_lakes,True,True,True,20251125,,config.yml;nysdec_priority_lakes.csv;nysdec_priority_lakes.sql
nysdec_priority_shorelines,True,True,True,20251125,,config.yml;nysdec_priority_shorelines.csv;nysdec_priority_shorelines.sql
nysdec_priority_streams,True,True,True,20251125,,config.yml;nysdec_priority_streams.csv;nysdec_priority_streams.sql
nysdec_solidwaste,True,True,True,20251211,,
nysdec_state_facility_permits,True,True,True,20260710,,config.yml;nysdec_state_facility_permits.csv;nysdec_state_facility_permits.sql
nysdec_tidal_wetlands,True,True,True,20251118,,config.yml;nysdec_tidal_wetlands.csv;nysdec_tidal_wetlands.sql
nysdec_title_v_facility_permits,True,True,True,20260710,,config.yml;nysdec_title_v_facility_permits.csv;nysdec_title_v_facility_permits.sql
nysdoccs_corrections,False,True,False,20240812,2024-08-12T20:43:25.351675-04:00,
nysdoh_healthfacilities,True,True,True,20251229,,
nysdoh_nursinghomes,True,True,True,20251224,,
nysdot_annual_average_daily_trafic,True,True,True,2023,,
nysed_activeinstitutions,False,True,False,20250723,2025-07-23T12:57:35.544610-04:00,
nysed_nonpublicenrollment,True,True,True,2024-25,,config.yml;nysed_nonpublicenrollment.csv;nysed_nonpublicenrollment.sql
nysoasas_programs,True,True,True,03-Feb-26,,config.yml;nysoasas_programs.csv;nysoasas_programs.sql
nysomh_mentalhealth,True,True,True,20251103,,
nysopwdd_providers,True,True,True,20241220,,
nysparks_historicplaces,True,True,True,20260711,,config.yml;nysparks_historicplaces.csv;nysparks_historicplaces.sql
nysparks_parks,True,True,True,20260708,,
nysshpo_archaeological_buffer_areas,True,True,True,20260711,,config.yml;nysshpo_archaeological_buffer_areas.csv;nysshpo_archaeological_buffer_areas.sql
nysshpo_historic_buildings_points,True,True,True,20260711,,config.yml;nysshpo_historic_buildings_points.csv;nysshpo_historic_buildings_points.sql
nysshpo_historic_buildings_polygons,True,True,True,20260711,,config.yml;nysshpo_historic_buildings_polygons.csv;nysshpo_historic_buildings_polygons.sql
omb_cbbr_agency_responses,True,True,True,FY2027,,
panynj_jfk_65db,True,True,True,20240216,,
panynj_lga_65db,True,True,True,20240216,,
pluto_corrections,False,True,False,22v3,,
pluto_input_cama_dof,True,True,True,20260601,,
pluto_input_geocodes,True,True,True,20260625,,config.yml;pluto_input_geocodes.csv;pluto_input_geocodes.sql
pluto_input_numbldgs,True,True,True,20260713,,config.yml;pluto_input_numbldgs.csv;pluto_input_numbldgs.sql
pluto_pts,True,True,True,20260518,,config.yml;pluto_pts.csv;pluto_pts.sql
qpl_libraries,True,True,True,20260208,,config.yml;qpl_libraries.csv;qpl_libraries.sql
sbs_workforce1,True,True,False,20170426,2023-07-19 12:41:12,
sca_bluebook,False,True,False,20241226,2025-01-14T21:02:09.150655-05:00,
sca_capacity_projects_current,False,True,False,20241226,2025-01-14T17:26:49.037701-05:00,
sca_e_pct,False,True,False,20241226,2025-01-14T19:06:59.056416-05:00,
sca_e_projections,False,True,False,20241226,2025-01-14T18:46:30.304250-05:00,
sca_enrollment_capacity,True,True,False,20230105,2024-08-13T13:33:07.090384-04:00,
test_nypl_libraries,False,False,False,,,
uscourts_courts,True,True,False,20240813,2024-08-13T16:51:48.997952-04:00,
usdot_airports,True,True,True,20260115,,
usdot_ports,False,True,False,20250722,2025-07-22T14:22:38.707745-04:00,
usfws_habitats_poly_proposed,True,True,True,20250401,,
usfws_nyc_wetlands,False,True,False,20240812,2024-08-12T14:29:54.021742-04:00,
usnps_parks,True,True,True,20260624,,config.yml;usnps_parks.csv;usnps_parks.sql
